ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month;risk_leak;BILL_AMT_SUM;LIMIT_BAL_LOG;CITY;RISK_RATING
1;20000.0;2.0;2.0;;24.0;2;2;-1;-1;-2;-2;3913.0;3102.0;689.0;0.0;0.0;0.0;0.0;689.0;0.0;0.0;0.0;0.0;1;1.075.675.276.433.290;7704.0;990.353.755.128.617;City_38;2
2;120000.0;2.0;2.0;2.0;26.0;-1;2;0;0;0;2;2682.0;1725.0;2682.0;3272.0;3455.0;3261.0;0.0;1000.0;1000.0;1000.0;0.0;2000.0;1;10.940.840.854.872.400;17077.0;11.695.255.355.062.700;City_6;1
3;90000.0;2.0;2.0;2.0;34.0;0;0;0;0;0;0;29239.0;14027.0;13559.0;14331.0;14948.0;15549.0;1518.0;1500.0;1000.0;1000.0;1000.0;5000.0;0;0.0703022492301175;101653.0;11.407.576.060.361.700;City_20;1
4;50000.0;2.0;2.0;1.0;37.0;0;0;0;0;0;0;46990.0;48233.0;49291.0;28314.0;28959.0;29547.0;2000.0;2019.0;1200.0;1100.0;1069.0;1000.0;0;0.058442435467177846;231334.0;10.819.798.284.210.200;City_25;1
5;50000.0;1.0;2.0;1.0;57.0;-1;0;-1;0;0;0;8617.0;5670.0;35835.0;20940.0;19146.0;19131.0;2000.0;36681.0;10000.0;9000.0;689.0;679.0;0;0.12943102887089503;109339.0;10.819.798.284.210.200;City_44;1
6;50000.0;1.0;1.0;;37.0;0;0;0;0;0;0;64400.0;57069.0;57608.0;19394.0;19619.0;20024.0;2500.0;1815.0;657.0;1000.0;1000.0;800.0;0;-0.04622238341903731;238114.0;10.819.798.284.210.200;City_5;1
7;;1.0;1.0;2.0;29.0;0;0;0;0;0;0;367965.0;412023.0;445007.0;542653.0;483003.0;473944.0;55000.0;40000.0;38000.0;20239.0;13750.0;13770.0;0;-0.10778701778804595;2724595.0;;City_18;1
8;100000.0;2.0;2.0;2.0;23.0;0;-1;-1;0;0;-1;11876.0;380.0;601.0;221.0;-159.0;567.0;380.0;601.0;0.0;581.0;1687.0;1542.0;0;-0.18145577674010624;13486.0;1.151.293.546.492.020;City_6;1
9;140000.0;2.0;3.0;1.0;28.0;0;0;2;0;0;0;11285.0;14096.0;12108.0;12211.0;11793.0;3719.0;3329.0;0.0;432.0;1000.0;1000.0;1000.0;0;0.028848821585627495;65212.0;11.849.404.844.423.000;City_20;1
10;20000.0;1.0;3.0;2.0;35.0;-2;-2;-2;-2;-1;-1;0.0;0.0;0.0;0.0;13007.0;13912.0;0.0;0.0;0.0;13007.0;1122.0;0.0;0;0.06618078664517064;26919.0;990.353.755.128.617;City_25;1
